Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.451691	1.147165	47.110000	59.760000	
0.100000	0.914918	0.928320	67.084000	68.180000	
0.100000	0.719559	0.758013	74.574000	74.240000	
0.100000	0.604210	0.751205	79.030000	75.660000	
0.100000	0.538204	0.562017	81.564000	80.490000	
0.100000	0.493776	0.669323	82.940000	77.790000	
0.100000	0.465779	0.521751	83.890000	82.960000	
0.100000	0.437683	0.601297	84.980000	79.930000	
0.100000	0.414344	0.711336	85.546000	78.610000	
0.100000	0.397006	0.574358	86.318000	81.100000	
0.100000	0.379441	0.505111	86.862000	82.840000	
0.100000	0.371093	0.508111	87.170000	83.260000	
0.100000	0.357269	0.532187	87.650000	82.840000	
0.100000	0.354436	0.490227	87.786000	83.690000	
0.100000	0.345448	0.440739	87.956000	85.110000	
0.100000	0.335280	0.438040	88.346000	86.180000	
0.100000	0.328221	0.446966	88.654000	85.470000	
0.100000	0.321551	0.372688	88.956000	87.400000	
0.100000	0.312140	0.484292	89.200000	84.380000	
0.100000	0.311992	0.414597	89.170000	86.250000	
0.100000	0.303497	0.412924	89.500000	86.780000	
0.100000	0.297452	0.513940	89.790000	82.870000	
0.100000	0.290743	0.464243	89.922000	85.040000	
0.100000	0.286547	0.407262	90.094000	86.440000	
0.100000	0.289846	0.455957	90.010000	85.850000	
0.100000	0.286095	0.437645	90.072000	86.220000	
0.100000	0.283218	0.373949	90.152000	87.820000	
0.100000	0.275594	0.440136	90.492000	85.730000	
0.100000	0.274752	0.440445	90.650000	85.940000	
0.100000	0.269342	0.403114	90.640000	87.300000	
0.100000	0.269357	0.436561	90.618000	85.660000	
0.100000	0.261789	0.370765	90.894000	88.260000	
0.100000	0.260816	0.583718	90.814000	82.740000	
0.100000	0.253776	0.384798	91.266000	87.810000	
0.100000	0.252765	0.387291	91.274000	87.410000	
0.100000	0.256080	0.336576	91.162000	89.150000	
0.100000	0.250216	0.443774	91.234000	85.680000	
0.100000	0.250100	0.394625	91.294000	87.010000	
0.100000	0.244910	0.361352	91.456000	88.230000	
0.100000	0.242811	0.335311	91.570000	88.610000	
0.100000	0.242913	0.416380	91.664000	86.940000	
0.100000	0.244340	0.384726	91.540000	87.790000	
0.100000	0.239536	0.340026	91.674000	89.220000	
0.100000	0.234014	0.388295	91.880000	87.860000	
0.100000	0.233478	0.381037	91.904000	87.910000	
0.100000	0.232227	0.443984	91.830000	86.500000	
0.100000	0.230564	0.336367	91.908000	89.180000	
0.100000	0.233606	0.389754	91.866000	87.690000	
0.100000	0.230243	0.397729	91.996000	87.270000	
0.100000	0.227410	0.423050	92.164000	86.630000	
0.100000	0.225026	0.412033	92.172000	87.230000	
0.100000	0.226513	0.341142	92.166000	89.010000	
0.100000	0.224121	0.333844	92.136000	89.320000	
0.100000	0.225317	0.295402	92.278000	90.220000	
0.100000	0.221018	0.422577	92.202000	87.090000	
0.100000	0.220486	0.344689	92.276000	88.700000	
0.100000	0.219218	0.330091	92.390000	89.460000	
0.100000	0.215189	0.377244	92.532000	88.190000	
0.100000	0.221972	0.363385	92.230000	88.380000	
0.100000	0.218510	0.370788	92.420000	88.100000	
