Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.565688	1.556069	41.349998	47.709999	
0.100000	1.058066	1.228799	61.537998	58.320000	
0.100000	0.878670	0.889836	68.591995	69.860001	
0.100000	0.752804	0.869944	73.451996	69.939995	
0.100000	0.664545	0.910393	76.975998	71.330002	
0.100000	0.596557	0.879939	79.318001	71.610001	
0.100000	0.545293	0.722262	81.215996	76.360001	
0.100000	0.504420	0.661054	82.557999	77.869995	
0.100000	0.470241	0.584860	83.843994	81.040001	
0.100000	0.445643	0.477947	84.565994	83.619995	
0.100000	0.423388	0.506615	85.498001	83.339996	
0.100000	0.404693	0.582750	85.945999	81.129997	
0.100000	0.384671	0.479347	86.759995	83.809998	
0.100000	0.370308	0.558587	87.166000	81.519997	
0.100000	0.354997	0.520640	87.565994	82.970001	
0.100000	0.345169	0.562248	88.047997	82.610001	
0.100000	0.334473	0.446572	88.437996	85.159996	
0.100000	0.329315	0.584397	88.512001	81.779999	
0.100000	0.314526	0.598785	89.070000	81.849998	
0.100000	0.304838	0.513698	89.503998	83.709999	
0.100000	0.307083	0.502201	89.341995	84.059998	
0.100000	0.291583	0.457282	89.877998	85.419998	
0.100000	0.291334	0.488225	89.807999	84.599998	
0.100000	0.279645	0.490795	90.313995	83.949997	
0.100000	0.275311	0.429079	90.521996	86.169998	
0.100000	0.270284	0.538532	90.603996	83.269997	
0.100000	0.265108	0.427351	90.757996	86.349998	
0.100000	0.259456	0.518903	91.091995	83.889999	
0.100000	0.258942	0.452906	90.967995	85.889999	
0.100000	0.248262	0.470568	91.470001	85.040001	
0.100000	0.248594	0.495714	91.360001	85.570000	
0.100000	0.248951	0.482814	91.239998	85.329994	
0.100000	0.243738	0.444147	91.481995	85.570000	
0.100000	0.238067	0.365543	91.708000	88.059998	
0.100000	0.236366	0.527972	91.801994	84.389999	
0.100000	0.231867	0.359795	91.899994	88.059998	
0.100000	0.226759	0.393675	91.973999	87.349998	
0.100000	0.225442	0.456704	92.115997	85.430000	
0.100000	0.221725	0.458447	92.155998	86.110001	
0.100000	0.221251	0.452523	92.183998	86.439995	
0.100000	0.219429	0.450341	92.425995	86.540001	
0.100000	0.219380	0.544880	92.287994	83.949997	
0.100000	0.206829	0.387901	92.736000	88.199997	
0.100000	0.209317	0.549276	92.739998	83.369995	
0.100000	0.214027	0.378816	92.473999	88.419998	
0.100000	0.206649	0.417239	92.776001	87.610001	
0.100000	0.202967	0.341888	93.021996	89.239998	
0.100000	0.199312	0.355292	93.103996	88.430000	
0.100000	0.201100	0.426537	92.995995	87.059998	
0.100000	0.200491	0.482264	93.071999	86.309998	
0.100000	0.199355	0.398978	93.037994	87.699997	
0.100000	0.200267	0.400277	93.042000	87.849998	
0.100000	0.193717	0.356835	93.208000	88.829994	
0.100000	0.192669	0.415575	93.351997	87.639999	
0.100000	0.186383	0.449043	93.451996	86.040001	
0.100000	0.190540	0.438472	93.447998	86.750000	
0.100000	0.190385	0.371783	93.391998	88.769997	
0.100000	0.184952	0.381425	93.481995	88.579994	
0.100000	0.185210	0.375315	93.587997	88.459999	
0.100000	0.190250	0.470143	93.402000	86.079994	
0.100000	0.181620	0.359583	93.629997	89.019997	
0.100000	0.177686	0.353624	93.839996	89.239998	
0.100000	0.180377	0.418033	93.687996	87.509995	
0.100000	0.182985	0.379195	93.666000	88.049995	
0.100000	0.179296	0.381495	93.699997	88.279999	
0.100000	0.182640	0.447761	93.515999	86.250000	
0.100000	0.180266	0.441023	93.694000	86.849998	
0.100000	0.173638	0.478278	93.897995	86.150002	
0.100000	0.171636	0.435966	94.087997	87.019997	
0.100000	0.172892	0.499027	93.972000	85.930000	
0.100000	0.172338	0.324454	93.986000	90.400002	
0.100000	0.174259	0.426981	93.863998	87.139999	
0.100000	0.173308	0.391420	93.973999	88.049995	
0.100000	0.168083	0.360053	94.153999	89.049995	
0.100000	0.169223	0.413527	94.133995	88.180000	
0.100000	0.168677	0.443231	93.991997	87.750000	
0.100000	0.172675	0.489341	94.037994	85.729996	
0.100000	0.172090	0.438315	94.000000	87.650002	
0.100000	0.165291	0.399898	94.251999	87.339996	
0.100000	0.167921	0.373697	94.101997	88.790001	
0.100000	0.167512	0.455720	94.131996	87.229996	
0.010000	0.083642	0.235352	97.229996	92.790001	
0.010000	0.052830	0.235413	98.311996	93.110001	
0.010000	0.042664	0.233848	98.655998	93.279999	
0.010000	0.036553	0.229093	98.863998	93.269997	
0.010000	0.034136	0.241871	98.965996	93.129997	
0.010000	0.028769	0.243585	99.155998	93.489998	
0.010000	0.026621	0.244143	99.225998	93.519997	
0.010000	0.023793	0.249921	99.285995	93.570000	
0.010000	0.022171	0.259508	99.313995	93.629997	
0.010000	0.020371	0.258859	99.405998	93.419998	
0.010000	0.018039	0.262051	99.458000	93.379997	
0.010000	0.018178	0.262785	99.451996	93.439995	
0.010000	0.015905	0.268840	99.554001	93.509995	
0.010000	0.014777	0.271077	99.613998	93.540001	
0.010000	0.015093	0.272069	99.577995	93.610001	
0.010000	0.013728	0.278723	99.625999	93.559998	
0.010000	0.013009	0.277146	99.635994	93.649994	
0.010000	0.011308	0.286457	99.681999	93.389999	
0.010000	0.011773	0.285947	99.659996	93.619995	
0.010000	0.010674	0.290929	99.713997	93.610001	
0.010000	0.011581	0.283249	99.671997	93.750000	
0.010000	0.010244	0.283911	99.722000	93.629997	
0.010000	0.010057	0.294273	99.725998	93.639999	
0.010000	0.009222	0.292460	99.767998	93.399994	
0.010000	0.009428	0.297532	99.737999	93.449997	
0.010000	0.009365	0.294932	99.717995	93.579994	
0.010000	0.007833	0.303607	99.787994	93.540001	
0.010000	0.008850	0.298714	99.757996	93.549995	
0.010000	0.008064	0.295548	99.785995	93.540001	
0.010000	0.007744	0.301885	99.801994	93.459999	
0.010000	0.007537	0.305544	99.797997	93.549995	
0.010000	0.008312	0.311480	99.762001	93.309998	
0.010000	0.008002	0.307146	99.778000	93.589996	
0.010000	0.006320	0.308334	99.827995	93.540001	
0.010000	0.007774	0.315811	99.771996	93.430000	
0.010000	0.006912	0.316455	99.820000	93.639999	
0.010000	0.006591	0.309976	99.848000	93.589996	
0.010000	0.006927	0.311063	99.823997	93.659996	
0.010000	0.006145	0.314538	99.843994	93.489998	
0.010000	0.006601	0.316321	99.820000	93.549995	
0.010000	0.007407	0.310004	99.795998	93.759995	
0.001000	0.005606	0.303137	99.871994	93.820000	
0.001000	0.004616	0.301418	99.897995	93.839996	
0.001000	0.004387	0.306223	99.889999	93.790001	
0.001000	0.004169	0.304209	99.897995	93.839996	
0.001000	0.004212	0.302415	99.913994	93.790001	
0.001000	0.004144	0.299800	99.891998	93.839996	
0.001000	0.004450	0.304048	99.902000	93.849998	
0.001000	0.003812	0.304739	99.919998	93.699997	
0.001000	0.004217	0.302500	99.899994	93.790001	
0.001000	0.003802	0.304233	99.927994	93.750000	
0.001000	0.003764	0.306085	99.919998	93.849998	
0.001000	0.003824	0.302492	99.917999	93.879997	
0.001000	0.003802	0.304124	99.921997	93.909996	
0.001000	0.003365	0.304025	99.941994	93.879997	
0.001000	0.003427	0.304076	99.937996	93.860001	
0.001000	0.003771	0.303488	99.916000	93.790001	
0.001000	0.003641	0.305470	99.930000	93.839996	
0.001000	0.003559	0.303155	99.917999	93.820000	
0.001000	0.003307	0.302779	99.935997	93.930000	
0.001000	0.003433	0.305380	99.933998	93.829994	
0.001000	0.003275	0.302743	99.916000	93.779999	
0.001000	0.003286	0.305417	99.931999	93.790001	
0.001000	0.003181	0.305195	99.941994	93.959999	
0.001000	0.003125	0.304913	99.930000	93.849998	
0.001000	0.003027	0.303679	99.944000	93.799995	
0.001000	0.003326	0.304946	99.931999	93.820000	
0.001000	0.002899	0.308597	99.951996	93.829994	
0.001000	0.003165	0.308447	99.947998	93.820000	
0.001000	0.003218	0.308344	99.951996	93.889999	
0.001000	0.003755	0.307232	99.919998	93.849998	
0.001000	0.003119	0.307187	99.931999	93.899994	
0.001000	0.002691	0.307537	99.963997	93.849998	
