Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.552895	4.285760	2.324000	4.290000	
0.100000	4.085994	3.890796	6.970000	9.389999	
0.100000	3.674630	3.512854	13.014000	15.670000	
0.100000	3.298106	3.279433	19.563999	20.769999	
0.100000	2.942220	2.821417	25.925999	29.459999	
0.100000	2.633190	2.543180	32.377998	34.570000	
0.100000	2.376524	2.356482	37.362000	38.309998	
0.100000	2.172452	2.226447	41.846001	41.919998	
0.100000	2.008464	2.500474	45.579998	38.379997	
0.100000	1.876997	2.419749	48.483997	38.290001	
0.100000	1.759634	2.019508	51.085999	47.320000	
0.100000	1.667959	1.981639	53.160000	47.369999	
0.100000	1.599911	2.046407	54.991997	47.070000	
0.100000	1.527463	1.777626	56.681999	52.020000	
0.100000	1.470611	1.838608	58.208000	50.989998	
0.100000	1.419418	1.732830	59.357998	53.930000	
0.100000	1.367620	1.707280	60.995998	54.119999	
0.100000	1.316083	1.682204	61.823997	54.389999	
0.100000	1.275402	1.579149	63.045998	56.919998	
0.100000	1.240092	1.719029	63.941998	54.520000	
0.100000	1.204033	1.650244	65.024002	55.320000	
0.100000	1.185513	1.597450	65.363998	56.879997	
0.100000	1.145701	1.628073	66.161995	57.320000	
0.100000	1.113538	1.656546	67.293999	57.559998	
0.100000	1.091092	1.558966	67.713997	58.599998	
0.100000	1.062435	1.529259	68.509995	58.649998	
0.100000	1.045610	1.710347	68.947998	56.599998	
0.100000	1.022909	1.605799	69.407997	58.639999	
0.100000	0.994010	1.608159	70.358002	57.699997	
0.100000	0.985111	1.623781	70.447998	58.160000	
0.100000	0.968075	1.613369	70.895996	58.989998	
0.100000	0.953424	1.570912	71.237999	58.879997	
0.100000	0.927732	1.729516	72.145996	56.539997	
0.100000	0.904592	1.747703	72.694000	56.320000	
0.100000	0.906901	1.572544	72.568001	59.500000	
0.100000	0.883650	1.616146	73.056000	59.699997	
0.100000	0.868531	1.589526	73.683998	59.809998	
0.100000	0.851607	1.747891	74.091995	57.270000	
0.100000	0.841010	1.524507	74.209999	60.269997	
0.100000	0.831459	1.622058	74.888000	59.980000	
0.100000	0.833445	1.558704	74.599998	60.169998	
0.100000	0.805164	1.655813	75.383995	58.099998	
